"DateTime","Total Daily Block Mining Reward [Ether]"
"2017-08-24 00:00:00",20984
"2017-08-25 00:00:00",17812
"2017-08-26 00:00:00",17537
"2017-08-27 00:00:00",17612
"2017-08-28 00:00:00",17277
"2017-08-29 00:00:00",17760
"2017-08-30 00:00:00",17706
"2017-08-31 00:00:00",17419
"2017-09-01 00:00:00",17653
"2017-09-02 00:00:00",17750
"2017-09-03 00:00:00",17733
"2017-09-04 00:00:00",17685
"2017-09-05 00:00:00",17847
"2017-09-06 00:00:00",17604
"2017-09-07 00:00:00",17790
"2017-09-08 00:00:00",18012
"2017-09-09 00:00:00",17854
"2017-09-10 00:00:00",17916
"2017-09-11 00:00:00",17799
"2017-09-12 00:00:00",18066
"2017-09-13 00:00:00",17729
"2017-09-14 00:00:00",18047
"2017-09-15 00:00:00",18138
"2017-09-16 00:00:00",18097
"2017-09-17 00:00:00",18193
"2017-09-18 00:00:00",17837
"2017-09-19 00:00:00",18189
"2017-09-20 00:00:00",18046
"2017-09-21 00:00:00",18270
"2017-09-22 00:00:00",15034
"2017-09-23 00:00:00",14443
"2017-09-24 00:00:00",14720
"2017-09-25 00:00:00",14208
"2017-09-26 00:00:00",14480
"2017-09-27 00:00:00",14555
"2017-09-28 00:00:00",14309
"2017-09-29 00:00:00",14174
"2017-09-30 00:00:00",14230
"2017-10-01 00:00:00",14343
"2017-10-02 00:00:00",14245
"2017-10-03 00:00:00",14345
"2017-10-04 00:00:00",14465
"2017-10-05 00:00:00",14760
"2017-10-06 00:00:00",14272
"2017-10-07 00:00:00",14271
"2017-10-08 00:00:00",14427
"2017-10-09 00:00:00",14442
"2017-10-10 00:00:00",14611
"2017-10-11 00:00:00",14612
"2017-10-12 00:00:00",14531
"2017-10-13 00:00:00",14493
"2017-10-14 00:00:00",14470
"2017-10-15 00:00:00",14663
"2017-10-16 00:00:00",15016
"2017-10-17 00:00:00",18231
"2017-10-18 00:00:00",18732
"2017-10-19 00:00:00",18792
"2017-10-20 00:00:00",18782
"2017-10-21 00:00:00",18746
