"DateTime","Gas Limit"
"2017-03-15 00:00:00",4014255.4998329435
"2017-03-16 00:00:00",4023372.006010017
"2017-03-17 00:00:00",4041070.6551438966
"2017-03-18 00:00:00",4044786.0659322315
"2017-03-19 00:00:00",4063160.4887394956
"2017-03-20 00:00:00",4090315.816848005
"2017-03-21 00:00:00",4083298.810642941
"2017-03-22 00:00:00",4158839.7488348866
"2017-03-23 00:00:00",4203217.4651673995
"2017-03-24 00:00:00",4227408.354811433
"2017-03-25 00:00:00",4142286.2076484403
"2017-03-26 00:00:00",4053341.6480521653
"2017-03-27 00:00:00",4069870.361619896
"2017-03-28 00:00:00",4077513.447457627
"2017-03-29 00:00:00",4210089.132431529
"2017-03-30 00:00:00",4185672.7350253807
"2017-03-31 00:00:00",4186065.7603416513
"2017-04-01 00:00:00",4226719.217178536
"2017-04-02 00:00:00",4251881.691755046
"2017-04-03 00:00:00",4271504.777220271
"2017-04-04 00:00:00",4170765.30192178
"2017-04-05 00:00:00",4169727.386735717
"2017-04-06 00:00:00",4143700.1154761906
"2017-04-07 00:00:00",4199732.545240498
"2017-04-08 00:00:00",4170429.881907008
"2017-04-09 00:00:00",4083483.9427289977
"2017-04-10 00:00:00",4124018.9991316427
"2017-04-11 00:00:00",4057222.6850743718
"2017-04-12 00:00:00",4054722.776431909
"2017-04-13 00:00:00",4039726.8554674024
"2017-04-14 00:00:00",4058046.7340893704
"2017-04-15 00:00:00",4086045.4913476664
"2017-04-16 00:00:00",4057682.0874570445
"2017-04-17 00:00:00",4055051.8710117727
"2017-04-18 00:00:00",4175466.283739976
"2017-04-19 00:00:00",4089203.2000699546
"2017-04-20 00:00:00",4102207.7105308073
"2017-04-21 00:00:00",4201883.9392650565
"2017-04-22 00:00:00",4244047.618957182
"2017-04-23 00:00:00",4235858.504774897
"2017-04-24 00:00:00",4257564.417759133
"2017-04-25 00:00:00",4279115.690351026
"2017-04-26 00:00:00",4287491.809650524
"2017-04-27 00:00:00",4280294.683445587
"2017-04-28 00:00:00",4290062.198174478
"2017-04-29 00:00:00",4288738.525773196
"2017-04-30 00:00:00",4286873.07223796
"2017-05-01 00:00:00",4289257.957859175
"2017-05-02 00:00:00",4287245.836447766
"2017-05-03 00:00:00",4288573.889183926
"2017-05-04 00:00:00",4284654.048150115
"2017-05-05 00:00:00",4286035.39753304
"2017-05-06 00:00:00",4290370.556181754
"2017-05-07 00:00:00",4297902.119797132
"2017-05-08 00:00:00",4296744.314893617
"2017-05-09 00:00:00",4297867.747179125
"2017-05-10 00:00:00",4301517.573831445
"2017-05-11 00:00:00",4297110.110487549
"2017-05-12 00:00:00",4301018.376054852
"2017-05-13 00:00:00",4303589.515292434
"2017-05-14 00:00:00",4301490.467419474
"2017-05-15 00:00:00",4301768.333641918
"2017-05-16 00:00:00",4305710.214037017
"2017-05-17 00:00:00",4310782.309107982
"2017-05-18 00:00:00",4305948.4505675575
"2017-05-19 00:00:00",4312008.403392331
"2017-05-20 00:00:00",4304710.691200583
"2017-05-21 00:00:00",4308803.353687695
"2017-05-22 00:00:00",4308812.467081199
"2017-05-23 00:00:00",4312227.540136556
"2017-05-24 00:00:00",4317590.133775567
"2017-05-25 00:00:00",4311008.541628545
"2017-05-26 00:00:00",4312434.874726876
"2017-05-27 00:00:00",4310196.201691488
"2017-05-28 00:00:00",4311630.801026958
"2017-05-29 00:00:00",4309976.259186234
"2017-05-30 00:00:00",4366294.867944812
"2017-05-31 00:00:00",4307774.28713969
"2017-06-01 00:00:00",4310624.46322972
"2017-06-02 00:00:00",4484247.832121093
"2017-06-03 00:00:00",4684099.126776796
"2017-06-04 00:00:00",4696619.64379845
"2017-06-05 00:00:00",4695818.8965517245
"2017-06-06 00:00:00",4698230.112135177
"2017-06-07 00:00:00",4698755.991028822
"2017-06-08 00:00:00",4698028.187751967
"2017-06-09 00:00:00",4698556.262754124
"2017-06-10 00:00:00",4695102.185858965
"2017-06-11 00:00:00",4698652.889820816
"2017-06-12 00:00:00",4692242.181019668
"2017-06-13 00:00:00",4694977.007776935
"2017-06-14 00:00:00",4705158.449083695
"2017-06-15 00:00:00",4706500.023374176
"2017-06-16 00:00:00",4704995.027173913
"2017-06-17 00:00:00",4706231.52547831
"2017-06-18 00:00:00",4706373.185337572
"2017-06-19 00:00:00",4706793.315335583
"2017-06-20 00:00:00",4707541.511576404
"2017-06-21 00:00:00",4709543.698040016
"2017-06-22 00:00:00",4711221.236245954
"2017-06-23 00:00:00",4710951.675255624
"2017-06-24 00:00:00",4710756.883984612
"2017-06-25 00:00:00",4710545.282176208
"2017-06-26 00:00:00",4710916.703524672
"2017-06-27 00:00:00",4711355.267546491
"2017-06-28 00:00:00",4714530.468453941
"2017-06-29 00:00:00",5414327.808434454
"2017-06-30 00:00:00",6699061.116560763
"2017-07-01 00:00:00",6704217.029147535
"2017-07-02 00:00:00",6705230.056615018
"2017-07-03 00:00:00",6706116.065716548
"2017-07-04 00:00:00",6704930.198897203
"2017-07-05 00:00:00",6704107.250351053
"2017-07-06 00:00:00",6703608.539635355
"2017-07-07 00:00:00",6703867.420928403
"2017-07-08 00:00:00",6708296.123255357
"2017-07-09 00:00:00",6718167.784844915
"2017-07-10 00:00:00",6716290.430996953
"2017-07-11 00:00:00",6718907.752212389
"2017-07-12 00:00:00",6718149.35706365
"2017-07-13 00:00:00",6717559.932624114
"2017-07-14 00:00:00",6716349.097956464
"2017-07-15 00:00:00",6716165.402346296
"2017-07-16 00:00:00",6715799.084590164
"2017-07-17 00:00:00",6717989.451670778
"2017-07-18 00:00:00",6717204.027466491
"2017-07-19 00:00:00",6719923.121846021
"2017-07-20 00:00:00",6719168.394214163
"2017-07-21 00:00:00",6716455.288575831
"2017-07-22 00:00:00",6715673.39341794
"2017-07-23 00:00:00",6718221.57360515
"2017-07-24 00:00:00",6718785.858795286
"2017-07-25 00:00:00",6717321.556764832
"2017-07-26 00:00:00",6716825.178924731
"2017-07-27 00:00:00",6718223.28722486
"2017-07-28 00:00:00",6716141.638476436
"2017-07-29 00:00:00",6716463.717275251
"2017-07-30 00:00:00",6715506.259141156
"2017-07-31 00:00:00",6716747.834840132
"2017-08-01 00:00:00",6716555.701737216
"2017-08-02 00:00:00",6717129.459446093
"2017-08-03 00:00:00",6716770.548792756
"2017-08-04 00:00:00",6715736.727475247
"2017-08-05 00:00:00",6716892.118244918
"2017-08-06 00:00:00",6718932.545634921
"2017-08-07 00:00:00",6715221.186126038
"2017-08-08 00:00:00",6716116.5563156605
"2017-08-09 00:00:00",6715844.841721371
"2017-08-10 00:00:00",6718659.254157359
"2017-08-11 00:00:00",6717129.085505481
"2017-08-12 00:00:00",6720109.51495259
"2017-08-13 00:00:00",6719502.666505207
"2017-08-14 00:00:00",6720197.471570288
"2017-08-15 00:00:00",6721017.964181994
"2017-08-16 00:00:00",6721852.565530485
"2017-08-17 00:00:00",6718043.883928572
"2017-08-18 00:00:00",6713919.25459381
"2017-08-19 00:00:00",6710935.792210876
"2017-08-20 00:00:00",6709750.674205967
"2017-08-21 00:00:00",6710830.315142925
"2017-08-22 00:00:00",6708616.184707288
"2017-08-23 00:00:00",6710905.5453036055
"2017-08-24 00:00:00",6711580.963432122
"2017-08-25 00:00:00",6711677.279122116
"2017-08-26 00:00:00",6713077.095170049
"2017-08-27 00:00:00",6714075.333238475
"2017-08-28 00:00:00",6714347.53598375
"2017-08-29 00:00:00",6719503.866704321
"2017-08-30 00:00:00",6714714.061455678
"2017-08-31 00:00:00",6715251.721278434
"2017-09-01 00:00:00",6718314.178074411
"2017-09-02 00:00:00",6716221.21434623
"2017-09-03 00:00:00",6713429.2554393895
"2017-09-04 00:00:00",6716615.6178055005
"2017-09-05 00:00:00",6718664.436639505
"2017-09-06 00:00:00",6719668.500854701
"2017-09-07 00:00:00",6715081.375528616
