"DateTime","Accounts"
"2017-04-16 00:00:00",1573962
"2017-04-17 00:00:00",1580351
"2017-04-18 00:00:00",1588677
"2017-04-19 00:00:00",1597385
"2017-04-20 00:00:00",1607415
"2017-04-21 00:00:00",1618601
"2017-04-22 00:00:00",1626390
"2017-04-23 00:00:00",1633026
"2017-04-24 00:00:00",1642667
"2017-04-25 00:00:00",1650636
"2017-04-26 00:00:00",1667175
"2017-04-27 00:00:00",1682961
"2017-04-28 00:00:00",1695265
"2017-04-29 00:00:00",1706059
"2017-04-30 00:00:00",1718182
"2017-05-01 00:00:00",1734186
"2017-05-02 00:00:00",1749328
"2017-05-03 00:00:00",1760907
"2017-05-04 00:00:00",1779295
"2017-05-05 00:00:00",1794800
"2017-05-06 00:00:00",1810193
"2017-05-07 00:00:00",1829163
"2017-05-08 00:00:00",1847836
"2017-05-09 00:00:00",1868205
"2017-05-10 00:00:00",1888566
"2017-05-11 00:00:00",1908322
"2017-05-12 00:00:00",1924351
"2017-05-13 00:00:00",1938276
"2017-05-14 00:00:00",1952060
"2017-05-15 00:00:00",1969924
"2017-05-16 00:00:00",1990402
"2017-05-17 00:00:00",2013199
"2017-05-18 00:00:00",2035458
"2017-05-19 00:00:00",2064160
"2017-05-20 00:00:00",2087999
"2017-05-21 00:00:00",2112625
"2017-05-22 00:00:00",2145642
"2017-05-23 00:00:00",2190350
"2017-05-24 00:00:00",2232873
"2017-05-25 00:00:00",2271933
"2017-05-26 00:00:00",2306203
"2017-05-27 00:00:00",2332998
"2017-05-28 00:00:00",2359124
"2017-05-29 00:00:00",2387674
"2017-05-30 00:00:00",2431502
"2017-05-31 00:00:00",2476836
"2017-06-01 00:00:00",2516165
"2017-06-02 00:00:00",2557591
"2017-06-03 00:00:00",2592756
"2017-06-04 00:00:00",2628850
"2017-06-05 00:00:00",2666694
"2017-06-06 00:00:00",2709670
"2017-06-07 00:00:00",2753969
"2017-06-08 00:00:00",2791437
"2017-06-09 00:00:00",2832055
"2017-06-10 00:00:00",2875409
"2017-06-11 00:00:00",2930933
"2017-06-12 00:00:00",2990261
"2017-06-13 00:00:00",3049694
"2017-06-14 00:00:00",3103133
"2017-06-15 00:00:00",3155584
"2017-06-16 00:00:00",3203699
"2017-06-17 00:00:00",3250133
"2017-06-18 00:00:00",3302974
"2017-06-19 00:00:00",3363561
"2017-06-20 00:00:00",3425888
"2017-06-21 00:00:00",3458247
"2017-06-22 00:00:00",3514353
"2017-06-23 00:00:00",3570383
