bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	1517901966	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
litecoin 	Someone needs to change this meme to shut up and take my Litecoin. Any takers? @DrPopandLocks	SatoshiLite	76	6	1517926455	960879312789360640	https://twitter.com/SatoshiLite/status/960879312789360640			@DrPopandLocks
	Actually, it is not the one I referred to in December. One of many launching this year actually!	SatoshiLite	91	16	1517926341	960878836534554627	https://twitter.com/SatoshiLite/status/960878836534554627			
	Got it. Thanks for the advice. I tend to shoot from the hip when I Twitter. I agree, I need to stop and think sometimes.	SatoshiLite	4	1	1517926212	960878294051598337	https://twitter.com/SatoshiLite/status/960878294051598337			
	Yes, like I said, crude joke.	SatoshiLite	4	1	1517926150	960878034189352960	https://twitter.com/SatoshiLite/status/960878034189352960			
	It's a big news.	SatoshiLite	53	3	1517925897	960876973080760321	https://twitter.com/SatoshiLite/status/960876973080760321			
	Merchants like lambos too!	SatoshiLite	24	2	1517925879	960876896975167488	https://twitter.com/SatoshiLite/status/960876896975167488			
	This guy is hard to please!	SatoshiLite	94	2	1517925794	960876542258692098	https://twitter.com/SatoshiLite/status/960876542258692098			
	Of course! Thanks for the support!	SatoshiLite	88	6	1517925719	960876227874643968	https://twitter.com/SatoshiLite/status/960876227874643968			
	Sorry, my humor is crude and a lot of people don't get it.	SatoshiLite	21	1	1517925617	960875799837515776	https://twitter.com/SatoshiLite/status/960875799837515776			
	I told people to be careful before that.	SatoshiLite	4	1	1517925401	960874893700038656	https://twitter.com/SatoshiLite/status/960874893700038656			
	No, I'm not. I have talked to their founder a couple of times but I have explicitly told them that I don't advise ICOs. Though they did have me in their initial pitch deck without my permission. I have asked them to remove that a while back.	SatoshiLite	5	2	1517925295	960874447031824384	https://twitter.com/SatoshiLite/status/960874447031824384			
	Good point!	SatoshiLite	8	1	1517925087	960873574708858880	https://twitter.com/SatoshiLite/status/960873574708858880			
litecoin 	Boom! Aliant adds Litecoin support to their merchant solutions. This is e-commerce and most importantly also point of sale with Poynt terminal integration! #PayWithLitecoin https:// twitter.com/AliantPayment/ status/960852076518690817 …	SatoshiLite	4055	1464	1517924986	960873153147764736	https://twitter.com/SatoshiLite/status/960873153147764736		#PayWithLitecoin	
	Sure	SatoshiLite	6	2	1517912560	960821032524201984	https://twitter.com/SatoshiLite/status/960821032524201984			
	I'm proud of you.	SatoshiLite	5	1	1517912044	960818871119749121	https://twitter.com/SatoshiLite/status/960818871119749121			
	Of course! Doesn't mean he's not a spy!	SatoshiLite	19	3	1517901827	960776016661700608	https://twitter.com/SatoshiLite/status/960776016661700608			
	Brian is a Russian spy.	SatoshiLite	32	3	1517901251	960773599333240832	https://twitter.com/SatoshiLite/status/960773599333240832			
