	That doesn't let you collaboratively edit in real time.	VitalikButerin	10	3	1519099654	965800067490660352	https://twitter.com/VitalikButerin/status/965800067490660352			
	Im here for me and any who appreciate that	officialmcafee	4	0	1519140651	965972020633722880	https://twitter.com/officialmcafee/status/965972020633722880			
	Ok	officialmcafee	1	0	1519140558	965971631071006721	https://twitter.com/officialmcafee/status/965971631071006721			
	Done	officialmcafee	4	0	1519140542	965971564553531394	https://twitter.com/officialmcafee/status/965971564553531394			
	Ok	officialmcafee	2	0	1519140523	965971485096636417	https://twitter.com/officialmcafee/status/965971485096636417			
	Done	officialmcafee	7	0	1519140494	965971363054878720	https://twitter.com/officialmcafee/status/965971363054878720			
	Nothing??????	officialmcafee	2	0	1519140451	965971180808261632	https://twitter.com/officialmcafee/status/965971180808261632			
	Thanks	officialmcafee	2	0	1519140402	965970976868655104	https://twitter.com/officialmcafee/status/965970976868655104			
	No other sane way	officialmcafee	4	1	1519140378	965970875580342272	https://twitter.com/officialmcafee/status/965970875580342272			
	:)	officialmcafee	2	0	1519140355	965970779555889152	https://twitter.com/officialmcafee/status/965970779555889152			
	Thanks	officialmcafee	2	0	1519140340	965970716800749568	https://twitter.com/officialmcafee/status/965970716800749568			
	I will	officialmcafee	5	0	1519140326	965970660181848064	https://twitter.com/officialmcafee/status/965970660181848064			
	Thank you	officialmcafee	4	0	1519140316	965970615948726273	https://twitter.com/officialmcafee/status/965970615948726273			
	Thank you. I will	officialmcafee	4	0	1519140294	965970523799900160	https://twitter.com/officialmcafee/status/965970523799900160			
	:)	officialmcafee	4	0	1519140248	965970331461701632	https://twitter.com/officialmcafee/status/965970331461701632			
	Possibly	officialmcafee	3	0	1519140236	965970280895172608	https://twitter.com/officialmcafee/status/965970280895172608			
	Thanks	officialmcafee	7	0	1519140214	965970189761368064	https://twitter.com/officialmcafee/status/965970189761368064			
	Thanks	officialmcafee	3	0	1519140196	965970114620350465	https://twitter.com/officialmcafee/status/965970114620350465			
	Thank you	officialmcafee	3	0	1519140177	965970031753531392	https://twitter.com/officialmcafee/status/965970031753531392			
	Thanks	officialmcafee	4	0	1519140161	965969965735170048	https://twitter.com/officialmcafee/status/965969965735170048			
	Fall	officialmcafee	5	0	1519140152	965969926845620226	https://twitter.com/officialmcafee/status/965969926845620226			
	:)	officialmcafee	3	0	1519140141	965969880821452801	https://twitter.com/officialmcafee/status/965969880821452801			
	I can	officialmcafee	4	0	1519140119	965969791872847873	https://twitter.com/officialmcafee/status/965969791872847873			
	Welcome	officialmcafee	4	0	1519140104	965969728383651840	https://twitter.com/officialmcafee/status/965969728383651840			
	Haha	officialmcafee	2	0	1519140093	965969680434434048	https://twitter.com/officialmcafee/status/965969680434434048			
	Thanks	officialmcafee	3	0	1519140082	965969634775195648	https://twitter.com/officialmcafee/status/965969634775195648			
	Maybe	officialmcafee	9	0	1519140066	965969566458433536	https://twitter.com/officialmcafee/status/965969566458433536			
	:)	officialmcafee	3	0	1519140049	965969495285288968	https://twitter.com/officialmcafee/status/965969495285288968			
	Lol	officialmcafee	3	0	1519140034	965969432651730944	https://twitter.com/officialmcafee/status/965969432651730944			
	You should live with them	officialmcafee	8	0	1519140023	965969386938028032	https://twitter.com/officialmcafee/status/965969386938028032			
	Lol	officialmcafee	4	0	1519139987	965969237918527490	https://twitter.com/officialmcafee/status/965969237918527490			
	Maybe	officialmcafee	5	0	1519139950	965969079441018880	https://twitter.com/officialmcafee/status/965969079441018880			
	Thank you	officialmcafee	4	0	1519139934	965969012734742530	https://twitter.com/officialmcafee/status/965969012734742530			
	And I bet we can come up with ten times that number of reasons for why I am disliked:) But thank you Mr. Nui. https://www. theindependentrepublic.com/2018/02/20/4-r easons-why-we-love-john-mcafee/ …	officialmcafee	1274	324	1519139799	965968446512160768	https://twitter.com/officialmcafee/status/965968446512160768			
	I've already disclosed it dozens of times. Of course I'm getting paid, and getting paid what I'm worth - which is an outrageous amount of money. What is your issue? I have no obligation to reveal the exact amount to you. When you see a Superbowl ad do they disclose what it cost?	officialmcafee	57	8	1519092047	965768160887664640	https://twitter.com/officialmcafee/status/965768160887664640			
	Yep	officialmcafee	4	1	1519091865	965767400271568896	https://twitter.com/officialmcafee/status/965767400271568896			
	"Welcome. Can't follow any group with the initials ""W.C"" unfortunately."	officialmcafee	10	1	1519091855	965767358106275845	https://twitter.com/officialmcafee/status/965767358106275845			
	Tell people about it. Met them in person at the SuperConference. Great people.	officialmcafee	11	4	1519091749	965766909856804865	https://twitter.com/officialmcafee/status/965766909856804865			
	This is a scam from an impersonator. Please don't fall for this or for all the scammers who cla imes they made money.	officialmcafee	25	4	1519091661	965766543786332160	https://twitter.com/officialmcafee/status/965766543786332160			
	http:// ico.docademic.com A pioneer company forging the path for free telemedicine for the world. Working products and Fortune 500 clients. Last week of presale. Whats more important than saving lives! pic.twitter.com/xhYskqIHqX	officialmcafee	512	125	1519090869	965763221989875712	https://twitter.com/officialmcafee/status/965763221989875712			
	You cannot lift the poor out of poverty by taxing the rich into poverty.	rogerkver	2559	650	1519154855	966031596536107008	https://twitter.com/rogerkver/status/966031596536107008			
	If you want your credit union to stay relevant for years to come, don't miss Brett King's upcoming keynote on The Future of Financial Institutions @NAFCU ’S 2018 Strategic Growth Conference in #Nashville - March 5-7 Register: http://www. nafcu.org/growth/ #fintech #banking #payments pic.twitter.com/34cCkYsAlJ	BrettKing	7	3	1519142413	965979410707943424	https://twitter.com/BrettKing/status/965979410707943424		#Nashville #fintech #banking #payments	@NAFCU
	Don’t even get me started	BrettKing	1	0	1519137012	965956759616655363	https://twitter.com/BrettKing/status/965956759616655363			
