currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
bitcoin 	Met a guy last night who told me he works for “Merrill”. Before thinking, I said Meryl Streep or Merrill Lynch? I guess crypto life don’t give a damn # bitcoin	CharlieShrem	165	20	1529075529	1007641919818813440	https://twitter.com/CharlieShrem/status/1007641919818813440		#		0.10	-0.134	0
bitcoin ethereum 	Oh boy.https://metro.co.uk/2018/06/15/nsa-helped-invent-bitcoin-founder-worlds-second-largest-cryptocurrency-ethereum-claims-7631719/amp/ …	WhalePanda	390	116	1529092811	1007714406518714369	https://twitter.com/WhalePanda/status/1007714406518714369				0.00	0.0	0
bitcoin 	If you're looking for a fun, non-scammy, non-ICO # Bitcoin conference take a look at Baltic Honeybadger 2018. 22-23 of September in Riga with once again an amazing line-up https://bh2018.hodlhodl.com/	WhalePanda	177	43	1529060908	1007580597102043137	https://twitter.com/WhalePanda/status/1007580597102043137		#		0.33	0.5483	0
	5/ Those are my takeaways from Hinman's watershed commentary yesterday. I look forward to # crypto going back to the magic of magic internet money: minting an asset over time directly in exchange for human or machine *work,* largely prioritizing labor over capital.	cburniske	23	3	1529082799	1007672411024711690	https://twitter.com/cburniske/status/1007672411024711690		#		-0.09	0.1806	0
	Reminder for crypto folks: as much as we all love graphs that are up and to the right, the path to success is never linear. It zigs and zags, and usually involves multiple near-death experiences.	AriannaSimpson	328	66	1529069693	1007617440312954880	https://twitter.com/AriannaSimpson/status/1007617440312954880				0.46	0.418	0
	This Friday checkout @ cryptokita for some of the most unique coin charts/visualizations. One of my favorites looking at market evolution:https://twitter.com/cryptokita/status/994585467608805376 …	VentureCoinist	56	13	1529075808	1007643088536375296	https://twitter.com/VentureCoinist/status/1007643088536375296			@	0.29	0.2107	0
bitcoin ethereum 	That was an Amazing Stream on # Bitcoin $ BTC # Ethereum $ ETH & @ SEC_News @ SEC_Enforcement Please give YouTube time to render it, it was 6+ hrs. Thanks @ FJasonSeibert @ BitcoinKhaleesi @ brucefenton @ SimonDixonTwitt @ dcsilver @ propelforward @ stephendpalleyhttps://youtu.be/EnUGcwBUO5I	ToneVays	314	50	1529094154	1007720036964950016	https://twitter.com/ToneVays/status/1007720036964950016		# #	@ @ @ @ @ @ @ @ @	0.29	0.5837	0
bitcoin ethereum 	LIVE Soon to spend ALL DAY talking # Bitcoin & # Ethereum implications w/ confirmed guests @ brucefenton @ SimonDixonTwitt @ propelforward + @ jimmysong @ giacomozucco @ theonevortex & more.... have experts & influences DM me to join $ BTCUSD $ ETHBTC $ ETH @ SEC_Newshttps://www.youtube.com/watch?v=EnUGcwBUO5I …	ToneVays	146	46	1529068326	1007611710218350592	https://twitter.com/ToneVays/status/1007611710218350592		# #	@ @ @ @ @ @ @	0.53	0.296	0
bitcoin ethereum 	In light of all the # Bitcoin / # Ethereum & @ SEC_News, I am comsidering another EPIC 4+ hr LIVE stream. If u are an influencer (ex: @ brucefenton @ SatoshiLite @ IOHK_Charles, @ SimonDixonTwitt ) or law expert ( @ propelforward @ valkenburgh) reach out. Flashback:https://youtu.be/xgAPGtr0go0	ToneVays	153	21	1529061153	1007581622273789952	https://twitter.com/ToneVays/status/1007581622273789952		# #	@ @ @ @ @ @ @	0.29	0.0086	0
bitcoin 	the opposite of 1 and 2 as those were mistakes... not buying Bitcoin first time a month earlier at 75% cheaper is something that i am OK with but 1 & 2 were avoidable	ToneVays	1	0	1529023632	1007424247659204609	https://twitter.com/ToneVays/status/1007424247659204609				-0.03	0.2421	0
bitcoin 	bitcoin must have bottomed... I just picked up a quick 100 followers since I went back to BLOCKCHAIN BAMA..pic.twitter.com/XgWUPUOcJW	Bamabroker	22	1	1529018243	1007401647075741696	https://twitter.com/Bamabroker/status/1007401647075741696				0.16	0.0	0
	"""Kurt Russell Is Going to Be in a Cryptocurrency Movie - coindesk""https://www.coindesk.com/kurt-russell-going-cryptocurrency-movie/ …"	valuewalk	0	0	1529084649	1007680172189999104	https://twitter.com/valuewalk/status/1007680172189999104				0.50	0.0	0
