bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	2018-02-06 08:26:06	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
	And that all the partners are crypto permabulls	VinnyLingham	7	0	2018-02-06 00:00:40	960649403668279310	https://twitter.com/VinnyLingham/status/960649403668279310			
litecoin 	cool. Can you turn the cash into litecoin?	SatoshiLite	24	2	2018-02-06 23:17:43	961000981705060352	https://twitter.com/SatoshiLite/status/961000981705060352			
	I have yet had time to watch the whole thing yet. So I'm not about to comment on it just to create bullishness for the sake of that.	SatoshiLite	55	1	2018-02-06 22:24:14	960987521583738880	https://twitter.com/SatoshiLite/status/960987521583738880			
	I earn 20 cents each time!	SatoshiLite	65	2	2018-02-06 22:16:20	960985536671305728	https://twitter.com/SatoshiLite/status/960985536671305728			
	LMAO pic.twitter.com/z5X9R9IkKe	SatoshiLite	1506	141	2018-02-06 22:03:50	960982389127196673	https://twitter.com/SatoshiLite/status/960982389127196673			
	This guy at the senate hearing looks suspiciously like my profile pic. It's not me... I swear! https:// twitter.com/thecryptojew/s tatus/960915941344366592 …	SatoshiLite	4548	799	2018-02-06 18:51:27	960933974305472513	https://twitter.com/SatoshiLite/status/960933974305472513			
	lambo lambo lambo!	SatoshiLite	33	8	2018-02-06 18:45:38	960932512162861056	https://twitter.com/SatoshiLite/status/960932512162861056			
	Prove it	SatoshiLite	7	2	2018-02-06 15:42:27	960886412093530112	https://twitter.com/SatoshiLite/status/960886412093530112			
	Awesome! Looking forward to it.	SatoshiLite	27	2	2018-02-06 15:41:12	960886094890872832	https://twitter.com/SatoshiLite/status/960886094890872832			
	Haha, there you go. No feelings hurt.	SatoshiLite	16	1	2018-02-06 15:35:46	960884730114658304	https://twitter.com/SatoshiLite/status/960884730114658304			
	Hey be nice, we all start off as shitcoins. Lol	SatoshiLite	43	2	2018-02-06 15:15:56	960879739635298305	https://twitter.com/SatoshiLite/status/960879739635298305			
	Thanks	SatoshiLite	5	1	2018-02-06 15:15:31	960879633276190720	https://twitter.com/SatoshiLite/status/960879633276190720			
litecoin 	Someone needs to change this meme to shut up and take my Litecoin. Any takers? @DrPopandLocks	SatoshiLite	76	6	2018-02-06 15:14:15	960879312789360640	https://twitter.com/SatoshiLite/status/960879312789360640			@DrPopandLocks
	Actually, it is not the one I referred to in December. One of many launching this year actually!	SatoshiLite	91	16	2018-02-06 15:12:21	960878836534554627	https://twitter.com/SatoshiLite/status/960878836534554627			
	Got it. Thanks for the advice. I tend to shoot from the hip when I Twitter. I agree, I need to stop and think sometimes.	SatoshiLite	4	1	2018-02-06 15:10:12	960878294051598337	https://twitter.com/SatoshiLite/status/960878294051598337			
	Yes, like I said, crude joke.	SatoshiLite	4	1	2018-02-06 15:09:10	960878034189352960	https://twitter.com/SatoshiLite/status/960878034189352960			
	It's a big news.	SatoshiLite	53	3	2018-02-06 15:04:57	960876973080760321	https://twitter.com/SatoshiLite/status/960876973080760321			
	Merchants like lambos too!	SatoshiLite	24	2	2018-02-06 15:04:39	960876896975167488	https://twitter.com/SatoshiLite/status/960876896975167488			
